pos_general,pos_categoria,atleta_1,atleta_2,nombres_pareja,grupo_edad,tiempo_total,tiempo_segundos,tiempo_minutos,evento,año,modalidad,running_1,1000m_skierg,running_2,50m_sled_push,running_3,50m_sled_pull,running_4,80m_burpee_broad_jump,running_5,1000m_row,running_6,200m_farmers_carry,running_7,100m_sandbag_lunges,running_8,wall_balls,roxzone_time,run_total,best_run_lap
1,1,Jose Agustin Alises Gimenez,Luis Garcia Rubio,"Jose Agustin Alises Gimenez, Luis Garcia Rubio",25-29,00:50:14,3014,50.23,Bilbao,2026,Doubles Men,00:03:23,00:03:39,00:03:11,00:01:44,00:03:15,00:02:40,00:03:23,00:01:42,00:03:25,00:03:53,00:03:20,00:01:16,00:03:23,00:02:09,00:03:25,00:03:19,00:03:15,00:26:42,00:03:11
2,2,Leonardo Alonso Mora,Sergio López Izquierdo,"Leonardo Alonso Mora, Sergio López Izquierdo",25-29,00:51:46,3106,51.77,Bilbao,2026,Doubles Men,00:03:38,00:03:35,00:03:25,00:01:36,00:03:31,00:02:29,00:03:29,00:01:56,00:03:29,00:03:47,00:03:34,00:01:22,00:03:30,00:02:29,00:03:32,00:03:22,00:03:09,00:28:04,00:03:25
3,3,Bernardo Branco,Ricardo Fonseca,"Bernardo Branco, Ricardo Fonseca",25-29,00:53:08,3188,53.13,Bilbao,2026,Doubles Men,00:03:36,00:03:37,00:03:26,00:01:52,00:03:37,00:02:28,00:03:35,00:02:08,00:03:35,00:03:55,00:03:37,00:01:16,00:03:35,00:02:22,00:03:40,00:03:19,00:03:40,00:28:37,00:03:26
4,4,Raul Sevillano,Pedro Jose Olmedo,"Raul Sevillano, Pedro Jose Olmedo",25-29,00:54:02,3242,54.03,Bilbao,2026,Doubles Men,00:03:46,00:03:53,00:03:30,00:01:45,00:03:41,00:02:49,00:03:37,00:01:57,00:03:36,00:04:12,00:03:38,00:01:25,00:03:27,00:02:26,00:03:33,00:03:27,00:03:31,00:28:43,00:03:27
5,1,Bradley Johnson,Tom Cansfield,"Bradley Johnson, Tom Cansfield",35-39,00:54:11,3251,54.18,Bilbao,2026,Doubles Men,00:03:41,00:03:37,00:03:33,00:01:48,00:03:36,00:02:38,00:03:38,00:02:15,00:03:42,00:03:48,00:03:39,00:01:16,00:03:44,00:02:35,00:03:45,00:03:37,00:03:27,00:29:14,00:03:33
6,1,Théo Dos Santos,Enzo Dos Santos,"Théo Dos Santos, Enzo Dos Santos",16-24,00:54:34,3274,54.57,Bilbao,2026,Doubles Men,00:03:56,00:03:51,00:03:39,00:01:42,00:03:39,00:02:29,00:03:41,00:02:09,00:03:41,00:03:59,00:03:48,00:01:24,00:03:39,00:02:17,00:03:44,00:03:34,00:03:30,00:29:43,00:03:39
7,1,Jorge Casao Orna,Carlos Sanjuan Ballesteros,"Jorge Casao Orna, Carlos Sanjuan Ballesteros",30-34,00:54:40,3280,54.67,Bilbao,2026,Doubles Men,00:03:45,00:03:47,00:03:28,00:01:45,00:03:36,00:02:45,00:03:33,00:02:07,00:03:33,00:04:11,00:03:31,00:01:19,00:03:35,00:02:56,00:03:36,00:03:31,00:03:51,00:28:33,00:03:28
8,2,Miguel Extremera Vacas,David Peña Anguita,"Miguel Extremera Vacas, David Peña Anguita",35-39,00:54:48,3288,54.8,Bilbao,2026,Doubles Men,00:03:40,00:03:42,00:03:39,00:01:37,00:03:41,00:02:26,00:03:46,00:02:10,00:03:51,00:04:11,00:03:36,00:01:19,00:03:41,00:02:45,00:03:46,00:03:31,00:03:35,00:29:36,00:03:36
9,2,Javier Zorrilla Calleja,Michael Fummo,"Javier Zorrilla Calleja, Michael Fummo",30-34,00:54:57,3297,54.95,Bilbao,2026,Doubles Men,00:03:43,00:03:47,00:03:29,00:01:49,00:03:42,00:03:02,00:03:47,00:01:57,00:03:40,00:04:01,00:03:43,00:01:22,00:03:46,00:02:30,00:03:44,00:03:22,00:03:41,00:29:31,00:03:29
10,5,Tomas Morris,Declan Smith,"Tomas Morris, Declan Smith",25-29,00:55:04,3304,55.07,Bilbao,2026,Doubles Men,00:03:54,00:03:44,00:03:32,00:01:31,00:03:39,00:02:33,00:03:49,00:02:12,00:03:59,00:04:08,00:03:42,00:01:09,00:03:55,00:02:26,00:03:49,00:03:22,00:03:49,00:30:15,00:03:32
